user,session_count,total_events,unique_page_types,events_per_session
10308713006751237011u,2,13,3,6.5
10309328388442985145u,1,8,2,8.0
1030969499797505093u,1,12,2,12.0
10313290126439840504u,1,27,2,27.0
10313851153957926095u,1,6,1,6.0
10314572112710010065u,1,6,1,6.0
10315538142803623943u,1,9,1,9.0
1031726180376959376u,1,16,3,16.0
10317322310362564663u,1,8,2,8.0
10317371775601139055u,1,10,3,10.0
10319027860755837645u,1,9,2,9.0
10319677563579113941u,1,18,2,18.0
1032174434201652674u,1,8,3,8.0
10322461699866571013u,1,12,1,12.0
10323636463933800028u,6,39,3,6.5
10324157629049035116u,1,9,1,9.0
10325041962047582397u,1,7,1,7.0
10325292367067748859u,3,14,3,4.666666666666667
10325583196162177707u,4,13,3,3.25
10327184874268320582u,17,60,4,3.5294117647058822
10327737361098163972u,1,10,3,10.0
10332317734189193592u,3,6,1,2.0
10332932665843251960u,1,8,2,8.0
10333834981748850443u,1,6,1,6.0
10334309339073591764u,1,10,2,10.0
10338393751384807930u,1,13,3,13.0
1034022058765886425u,1,27,2,27.0
103422277202993282u,1,9,2,9.0
10342273253032656749u,1,17,1,17.0
10343260899528894012u,1,12,1,12.0
10344709215993683412u,1,10,1,10.0
10348578959959300707u,1,6,3,6.0
10349922160104627890u,1,7,3,7.0
10349934750192698350u,1,40,3,40.0
10351585941458890385u,2,19,2,9.5
10352953383161166917u,1,23,3,23.0
10353088544471266277u,1,9,2,9.0
1035419882940856414u,1,20,3,20.0
10354487639797010489u,3,28,4,9.333333333333334
10358992592144136536u,3,17,4,5.666666666666667
10360664027494879337u,1,11,3,11.0
10361090693633620978u,1,10,3,10.0
10362645567702643225u,1,9,2,9.0
10364271565427834849u,1,6,2,6.0
10364486136963492256u,1,17,3,17.0
10366335261194576688u,6,13,2,2.1666666666666665
10367499166665988489u,2,8,1,4.0
10367847491553244036u,1,10,2,10.0
1036806885999336883u,1,13,2,13.0
1036876547684141691u,1,11,1,11.0
10370635384559699451u,7,8,1,1.1428571428571428
10371613213752457837u,1,13,4,13.0
10372246490715430622u,1,9,2,9.0
10373587540575807102u,1,6,1,6.0
10373612534539069596u,2,9,1,4.5
10377576784477750514u,3,8,1,2.6666666666666665
10377591724943101915u,1,7,2,7.0
10377596558056288986u,4,10,1,2.5
10378289175363826625u,13,13,1,1.0
10378942640940777053u,3,6,1,2.0
10380017204367077767u,1,8,3,8.0
10381132282090634611u,5,7,1,1.4
10381438444131851075u,1,9,3,9.0
103849106523970853u,6,97,3,16.166666666666668
10385286856132352025u,1,14,4,14.0
10385933739500718195u,3,42,3,14.0
10386063448953239278u,1,6,1,6.0
10386465771294847369u,1,9,4,9.0
1038930684142627377u,1,6,2,6.0
10389361147032334042u,1,7,2,7.0
10389993588457781160u,1,12,2,12.0
1039009123232626228u,2,16,2,8.0
10390131992099362309u,1,11,2,11.0
10392212095529308341u,3,13,2,4.333333333333333
10392857312548402723u,3,11,1,3.6666666666666665
10393144259797201846u,3,33,3,11.0
10393183823365711125u,6,6,1,1.0
1039472675831366519u,1,8,2,8.0
1039474057165136013u,8,8,1,1.0
10394979976135400757u,1,6,1,6.0
10395773862517468448u,1,8,2,8.0
10396093010278016335u,1,26,2,26.0
10397181139699278550u,14,15,1,1.0714285714285714
10397684070734454566u,2,17,3,8.5
10398524217796190531u,1,9,2,9.0
10400164957488752348u,1,8,2,8.0
1040053601017418904u,1,6,1,6.0
10401465295345053262u,1,22,3,22.0
10403647418231384276u,12,35,2,2.9166666666666665
10404263430224897358u,1,16,3,16.0
10404380445224819422u,1,6,2,6.0
10404415394515857877u,1,11,3,11.0
10406459487510856444u,1,7,2,7.0
10407991190221509810u,1,7,2,7.0
10408033022200384870u,1,6,2,6.0
10408310270301835923u,1,6,2,6.0
10408754435529370943u,1,13,1,13.0
10408865735660904465u,1,7,1,7.0
10409013619943810256u,1,12,2,12.0
10409485986314916268u,1,10,2,10.0
10417317146711715478u,1,10,2,10.0
10417868301003544640u,1,9,3,9.0
1042225233102731800u,1,9,2,9.0
10426247145362672668u,1,8,2,8.0
10427025531028698709u,2,30,4,15.0
10430845695554364601u,1,6,2,6.0
104329876393121265u,1,7,1,7.0
10433292426901919627u,1,7,3,7.0
10435709905975634362u,1,22,2,22.0
10435904068385310499u,23,70,2,3.0434782608695654
10436846357391578568u,2,25,3,12.5
10437287484181168665u,1,12,3,12.0
10437737901585846684u,2,28,2,14.0
10438222924099084222u,1,6,1,6.0
1043923149503514647u,1,7,1,7.0
10441528257074699584u,3,12,2,4.0
10441640927118013069u,1,10,3,10.0
10444199476994050784u,4,9,1,2.25
10444484201867201020u,1,28,3,28.0
10445739896245331478u,1,12,3,12.0
10445988842274203831u,7,7,1,1.0
10446825134011319201u,2,19,3,9.5
1044740251289752723u,1,12,3,12.0
10447421679828212403u,1,10,3,10.0
10447754100714809894u,7,7,1,1.0
10449262650448670667u,1,6,2,6.0
10450306827280771170u,1,13,2,13.0
10451441528596909727u,1,6,2,6.0
10451781377346944985u,3,6,1,2.0
10452801710702417349u,1,10,4,10.0
10452922786476199259u,3,6,1,2.0
10454269581841275800u,1,8,1,8.0
104542706917600390u,1,14,2,14.0
10454391251091141731u,1,15,3,15.0
10454499902678843250u,1,6,2,6.0
10455074663039357745u,1,13,1,13.0
1045592142411262975u,1,6,2,6.0
10456142307031124433u,1,9,2,9.0
1045727555604652511u,1,9,1,9.0
10458069651191166914u,2,6,1,3.0
10458092535985390266u,1,6,2,6.0
10458392355991121033u,4,20,3,5.0
10458779823458480472u,1,6,2,6.0
10458876290885985769u,1,6,1,6.0
10459430768386046023u,9,17,1,1.8888888888888888
10460371273726065681u,1,7,3,7.0
1046135075651083402u,3,13,2,4.333333333333333
1046142550024449633u,1,11,2,11.0
10462298301366576064u,1,8,1,8.0
10462469477474220866u,1,13,1,13.0
10469570018677909612u,1,6,2,6.0
104703879952272520u,1,8,2,8.0
10471318226043202638u,2,6,1,3.0
104721380309572228u,1,10,2,10.0
10472966636653239885u,1,7,2,7.0
10473240563906054548u,3,12,2,4.0
10475375613613562979u,1,6,3,6.0
10476345160308969938u,5,34,4,6.8
10476556908629976888u,1,8,3,8.0
10477242742966182855u,1,6,1,6.0
1047751983524621762u,8,56,4,7.0
10477686918684044549u,1,15,2,15.0
10478104878614436898u,8,8,1,1.0
10478145764090427362u,1,15,4,15.0
10478244904833812704u,1,12,2,12.0
1047834204325147495u,6,12,3,2.0
10478787146152127738u,1,6,1,6.0
10478938171379720086u,1,12,2,12.0
10481894781947014246u,1,6,1,6.0
1048208798408244833u,2,14,2,7.0
10484556502750475171u,1,10,3,10.0
10485597765495173119u,1,12,2,12.0
10486506236530011539u,1,17,2,17.0
10486915641558730420u,1,6,2,6.0
10487823370149858965u,1,9,3,9.0
10488236965005049000u,1,7,2,7.0
10488347470700556797u,1,7,2,7.0
10488753667352061260u,1,8,2,8.0
10488844588224814634u,5,23,4,4.6
10489134723756846654u,2,8,1,4.0
10489630952038260880u,2,10,1,5.0
10490113825792588981u,1,19,3,19.0
10494666199865003865u,1,31,2,31.0
10495402125837764082u,1,12,2,12.0
10496076482652274949u,1,13,1,13.0
10496800273908008078u,3,6,1,2.0
10497776070279280567u,1,7,2,7.0
10497993035652373778u,1,7,1,7.0
10498598508603147719u,1,8,3,8.0
10498606211445642452u,1,7,2,7.0
10498982011401850508u,1,9,2,9.0
10500840877569134371u,1,11,2,11.0
10501308103308171913u,1,9,3,9.0
10501981761289217873u,1,19,3,19.0
10502142221798974815u,2,14,1,7.0
10504398849933978720u,7,11,2,1.5714285714285714
10505272733655264819u,1,14,2,14.0
10505619703181825098u,1,7,3,7.0
10505926613848697512u,1,7,2,7.0
10505933600376161553u,1,7,2,7.0
10506135780809260248u,1,8,2,8.0
10506621568713498655u,1,6,3,6.0
10512667445596264656u,1,7,3,7.0
10512922905425300596u,1,18,2,18.0
10513589480387257991u,4,26,1,6.5
10514406222906190583u,1,10,1,10.0
10514465485604447670u,1,6,2,6.0
1051574000480797765u,6,6,1,1.0
1051651507982587186u,1,8,2,8.0
10518572250279121803u,1,11,3,11.0
1051975876933652024u,1,6,2,6.0
10519897899072005372u,1,15,2,15.0
10520023633110397036u,1,8,2,8.0
10520185248699412481u,1,38,1,38.0
10521274115488959062u,1,14,3,14.0
10522380351537018027u,1,20,3,20.0
10522381817714228971u,1,7,2,7.0
10523123096725228425u,6,6,1,1.0
10524466357641103448u,1,19,3,19.0
1052500039547231389u,2,11,2,5.5
10525644938540341137u,2,6,1,3.0
1052622188867926570u,4,52,3,13.0
10526738191702199257u,6,9,1,1.5
10528400794511746874u,2,13,3,6.5
10528859404726790429u,1,6,3,6.0
10529662372641585333u,3,30,4,10.0
1053000571770721525u,1,13,1,13.0
10530181328378390032u,2,19,3,9.5
10530211974288243681u,1,6,2,6.0
10531684816312277197u,1,6,1,6.0
10532929063112946050u,4,16,2,4.0
10533492946303634465u,2,14,3,7.0
10533774802285477423u,3,20,3,6.666666666666667
10534872313142935875u,2,28,2,14.0
10535918946240870162u,1,6,3,6.0
10537254056363179301u,1,13,2,13.0
10538233500653643952u,1,6,3,6.0
10538382052859277132u,1,9,3,9.0
10539434897695142825u,24,32,1,1.3333333333333333
10542943993190063523u,2,7,1,3.5
10543568186238792077u,1,6,1,6.0
1054418626448485136u,1,7,2,7.0
10546400180347917318u,3,6,1,2.0
10546763049209407644u,2,30,4,15.0
10547229892790362348u,3,21,3,7.0
10548335965152938908u,1,7,4,7.0
10550514575664755564u,2,26,4,13.0
10551125150485798248u,1,8,1,8.0
1055143286676710862u,4,14,3,3.5
10551625574833684594u,1,10,3,10.0
10551695824585512931u,1,10,2,10.0
1055389231038591235u,1,6,2,6.0
10554467783233988573u,1,9,1,9.0
10554541033914742172u,1,9,2,9.0
10554861324206192224u,1,9,2,9.0
1055590485677135276u,1,10,4,10.0
10557227328131507086u,2,7,1,3.5
1055797720512183415u,1,27,4,27.0
